fixture_date,season,division,home_team,away_team,home_score,away_score,URLs,fixtureID
2023-11-13,23,2,Moulsecoomb Club C,Southwick Sports B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505731.html,NA
2023-11-13,23,2,Preston Club,Hove Deep Sea Anglers,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505732.html,NA
2023-11-13,23,2,Southwick Sports A,Portslade Legion,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505729.html,NA
2023-11-20,23,2,Champion House B,Moulsecoomb Club A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505738.html,NA
2023-11-20,23,2,Moulsecoomb Club B,Moulsecoomb Club C,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505735.html,NA
2023-11-20,23,2,Portslade Legion,Champion House  A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505734.html,NA
2023-11-20,23,2,Southwick Sports B,Southwick Sports A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505737.html,NA
2023-11-20,23,2,Southwick Sports C,Preston Club,0,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505736.html,NA
2023-11-27,23,2,Champion House  A,Southwick Sports B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505743.html,NA
2023-11-27,23,2,Moulsecoomb Club A,Portslade Legion,5,0,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505739.html,NA
2023-11-27,23,2,Moulsecoomb Club C,Hove Deep Sea Anglers,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505740.html,NA
2023-11-27,23,2,Preston Club,Champion House B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505741.html,NA
2023-11-27,23,2,Southwick Sports A,Moulsecoomb Club B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505742.html,NA
2023-12-11,23,2,Hove Deep Sea Anglers,Southwick Sports A,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505747.html,NA
2023-12-11,23,2,Moulsecoomb Club B,Champion House  A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505744.html,NA
2023-12-11,23,2,Preston Club,Moulsecoomb Club A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505748.html,NA
2023-12-11,23,2,Southwick Sports B,Portslade Legion,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505746.html,NA
2023-12-11,23,2,Southwick Sports C,Moulsecoomb Club C,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505745.html,NA
2023-12-18,23,2,Champion House  A,Hove Deep Sea Anglers,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505752.html,NA
2023-12-18,23,2,Moulsecoomb Club A,Southwick Sports B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505749.html,NA
2023-12-18,23,2,Moulsecoomb Club C,Champion House B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505753.html,NA
2023-12-18,23,2,Portslade Legion,Moulsecoomb Club B,0,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505750.html,NA
2023-12-18,23,2,Southwick Sports A,Southwick Sports C,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505751.html,NA
2024-01-08,23,2,Champion House  A,Southwick Sports C,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505754.html,NA
2024-01-08,23,2,Moulsecoomb Club C,Preston Club,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505755.html,NA
2024-01-08,23,2,Portslade Legion,Hove Deep Sea Anglers,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505756.html,NA
2024-01-08,23,2,Southwick Sports A,Champion House B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505757.html,NA
2024-01-08,23,2,Southwick Sports B,Moulsecoomb Club B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505758.html,NA
2024-01-15,23,2,Champion House B,Champion House  A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505760.html,NA
2024-01-15,23,2,Hove Deep Sea Anglers,Southwick Sports B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505759.html,NA
2024-01-15,23,2,Moulsecoomb Club B,Moulsecoomb Club A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505763.html,NA
2024-01-15,23,2,Preston Club,Southwick Sports A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505762.html,NA
2024-01-15,23,2,Southwick Sports C,Portslade Legion,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505761.html,NA
2024-01-22,23,2,Champion House  A,Preston Club,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505767.html,NA
2024-01-22,23,2,Moulsecoomb Club B,Hove Deep Sea Anglers,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505768.html,NA
2024-01-22,23,2,Moulsecoomb Club C,Moulsecoomb Club A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505765.html,NA
2024-01-22,23,2,Portslade Legion,Champion House B,0,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505764.html,NA
2024-01-22,23,2,Southwick Sports B,Southwick Sports C,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505766.html,NA
2024-01-29,23,2,Champion House B,Southwick Sports B,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505772.html,NA
2024-01-29,23,2,Moulsecoomb Club A,Hove Deep Sea Anglers,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505771.html,NA
2024-01-29,23,2,Moulsecoomb Club C,Southwick Sports A,0,5,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505769.html,NA
2024-01-29,23,2,Preston Club,Portslade Legion,5,0,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505770.html,NA
2024-01-29,23,2,Southwick Sports C,Moulsecoomb Club B,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505773.html,NA
2024-02-12,23,2,Champion House  A,Moulsecoomb Club C,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505777.html,NA
2024-02-12,23,2,Hove Deep Sea Anglers,Southwick Sports C,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505778.html,NA
