fixture_date,season,division,home_team,away_team,home_sp,away_sp,url,home_op,away_op
2022-11-23,22,1,Hassocks A,Moulsecoomb A,14,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054303.html,563,540
2022-11-23,22,1,St. Matthias B,St. Matthias A,12,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054304.html,562,597
2022-11-15,22,1,St. Matthias B,Moulsecoomb B,12,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054292.html,541,600
2022-11-09,22,1,Moulsecoomb B,St. Matthias B,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054301.html,591,587
2022-11-09,22,1,St. Matthias A,Moulsecoomb A,13,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054302.html,586,595
2022-11-02,22,1,Moulsecoomb B,St. Matthias A,11,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054300.html,532,568
2022-11-02,22,1,St. Matthias B,Hassocks A,11,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054299.html,529,593
2022-10-26,22,1,Hassocks A,Moulsecoomb B,14,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054298.html,586,518
2022-10-26,22,1,Moulsecoomb A,St. Matthias B,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054297.html,596,578
2022-10-19,22,1,Hassocks A,St. Matthias A,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054295.html,600,470
2022-10-19,22,1,Moulsecoomb B,Moulsecoomb A,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054296.html,600,514
2022-10-05,22,1,Moulsecoomb A,Hassocks A,10,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054294.html,525,600
2022-10-05,22,1,St. Matthias A,St. Matthias B,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054293.html,543,525
2022-09-28,22,1,Moulsecoomb A,St. Matthias A,12,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054291.html,584,597
2022-09-21,22,1,Hassocks A,St. Matthias B,12,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054290.html,506,511
2022-09-21,22,1,St. Matthias A,Moulsecoomb B,11,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054289.html,522,600
2022-09-14,22,1,Moulsecoomb B,Hassocks A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054287.html,555,552
2022-09-14,22,1,St. Matthias B,Moulsecoomb A,9,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054288.html,482,589
2020-02-19,19,1,Champion House,Annunciation,13,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130237.html,586,557
2020-02-19,19,1,Moulsecoomb B,St. Matthias B,8,15,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130239.html,494,600
2020-02-19,19,1,St. Matthias A,Moulsecoomb A,15,11,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130238.html,600,538
2020-02-12,19,1,Annunciation,Moulsecoomb A,15,8,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130235.html,600,497
2020-02-12,19,1,Moulsecoomb B,St. Matthias A,11,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130234.html,524,575
2020-02-12,19,1,St. Matthias B,Champion House,12,14,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130236.html,522,576
2020-02-05,19,1,Champion House,Moulsecoomb B,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130233.html,546,549
2020-02-05,19,1,Moulsecoomb A,St. Matthias B,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130232.html,576,565
2020-02-05,19,1,St. Matthias A,Annunciation,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130231.html,541,544
2020-01-22,19,1,Champion House,St. Matthias A,14,11,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130228.html,582,483
2020-01-22,19,1,Moulsecoomb B,Moulsecoomb A,15,8,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130230.html,600,499
2020-01-22,19,1,St. Matthias B,Annunciation,14,8,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130229.html,561,420
2020-01-15,19,1,Annunciation,Moulsecoomb B,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130226.html,600,528
2020-01-15,19,1,Moulsecoomb A,Champion House,15,11,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130225.html,600,565
2020-01-15,19,1,St. Matthias A,St. Matthias B,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130227.html,573,508
2019-12-11,19,1,Annunciation,Champion House,13,11,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130222.html,555,509
2019-12-11,19,1,Moulsecoomb A,St. Matthias A,10,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130223.html,520,557
2019-12-11,19,1,St. Matthias B,Moulsecoomb B,12,11,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130224.html,507,557
2019-11-20,19,1,Champion House,St. Matthias B,7,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130221.html,329,556
2019-11-20,19,1,Moulsecoomb A,Annunciation,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130220.html,600,476
2019-11-20,19,1,St. Matthias A,Moulsecoomb B,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130219.html,600,486
2019-11-13,19,1,Annunciation,St. Matthias A,13,11,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130216.html,572,500
2019-11-13,19,1,Moulsecoomb B,Champion House,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130218.html,600,479
2019-11-13,19,1,St. Matthias B,Moulsecoomb A,9,15,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130217.html,427,600
2019-11-06,19,1,Annunciation,St. Matthias B,6,15,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130214.html,307,600
2019-11-06,19,1,Moulsecoomb A,Moulsecoomb B,10,15,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130215.html,499,600
2019-11-06,19,1,St. Matthias A,Champion House,14,12,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130213.html,574,564
2019-10-23,19,1,Champion House,Moulsecoomb A,12,12,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130210.html,526,561
2019-10-23,19,1,Moulsecoomb B,Annunciation,14,10,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130211.html,599,440
2019-10-23,19,1,St. Matthias B,St. Matthias A,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130212.html,600,463
2019-10-16,19,1,Champion House,Annunciation,14,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130207.html,591,572
2019-10-16,19,1,Moulsecoomb B,St. Matthias B,15,12,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130209.html,600,580
2019-10-16,19,1,St. Matthias A,Moulsecoomb A,14,9,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130208.html,572,505
2019-10-09,19,1,Annunciation,Moulsecoomb A,13,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130205.html,547,575
2019-10-09,19,1,Moulsecoomb B,St. Matthias A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130204.html,560,572
2019-10-09,19,1,St. Matthias B,Champion House,14,10,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130206.html,570,470
2019-09-25,19,1,Champion House,Moulsecoomb B,9,15,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130203.html,442,600
2019-09-25,19,1,Moulsecoomb A,St. Matthias B,11,15,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130202.html,564,600
2019-09-25,19,1,St. Matthias A,Annunciation,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130201.html,563,537
2019-09-18,19,1,Champion House,St. Matthias A,12,14,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130198.html,545,586
2019-09-18,19,1,Moulsecoomb B,Moulsecoomb A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130200.html,552,597
2019-09-18,19,1,St. Matthias B,Annunciation,11,13,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130199.html,513,523
2019-09-11,19,1,Annunciation,Moulsecoomb B,11,14,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130196.html,484,585
2019-09-11,19,1,Moulsecoomb A,Champion House,15,7,http://brightonhovedistrictbilliards.leaguerepublic.com/l/match/27130195.html,600,360
